Date,Open,High,Low,Close,Volume,Market Cap
"May 24, 2015",238.975997925,241.977996826,238.811004639,240.95300293,11508000,3420845884
"May 23, 2015",240.285995483,241.024993896,238.690994263,238.871994019,14605000,3390435704
"May 22, 2015",235.320999146,240.968994141,235.059997559,240.348007202,27003000,3410712372
"May 21, 2015",234.01600647,236.242004395,233.835006714,235.343994141,15108900,3338890048
"May 20, 2015",231.88999939,234.682998657,231.841995239,234.018005371,15499400,3319170901
"May 19, 2015",233.037002563,234.151000977,231.817001343,231.947006226,14241900,3288950473
"May 18, 2015",236.886993408,237.210006714,232.460006714,233.128005981,16780300,3304944920
"May 17, 2015",236.009994507,238.024993896,236.009994507,236.802001953,11134300,3356176986
"May 16, 2015",237.643997192,237.697006226,235.294998169,236.152999878,11089700,3345969203
"May 15, 2015",236.955001831,238.753005981,236.794998169,237.604995728,16329400,3365752047
"May 14, 2015",236.214004517,237.798995972,234.057006836,236.929000854,24413700,3355311496
"May 13, 2015",241.397994995,243.703994751,235.044998169,236.376998901,27180100,3346584200
